,residual,county_state
13063,-579.05005,"Clayton County, Georgia"
13065,435.21808,"Clinch County, Georgia"
13067,-137.96317,"Cobb County, Georgia"
13069,-15.334991,"Coffee County, Georgia"
13071,41.972656,"Colquitt County, Georgia"
13073,-70.725494,"Columbia County, Georgia"
13075,-81.0511,"Cook County, Georgia"
13077,-46.85315,"Coweta County, Georgia"
13079,15.651764,"Crawford County, Georgia"
13081,170.6883,"Crisp County, Georgia"
13083,59.410515,"Dade County, Georgia"
13085,286.61212,"Dawson County, Georgia"
13087,-49.160156,"Decatur County, Georgia"
13089,-120.87103,"DeKalb County, Georgia"
13091,-373.09784,"Dodge County, Georgia"
13093,644.9818,"Dooly County, Georgia"
13095,1390.9015,"Dougherty County, Georgia"
13097,-16.936615,"Douglas County, Georgia"
13099,1863.8792,"Early County, Georgia"
13101,-161.44128,"Echols County, Georgia"
13103,-133.55244,"Effingham County, Georgia"
13105,-175.40654,"Elbert County, Georgia"
13107,-372.00934,"Emanuel County, Georgia"
13109,-539.0141,"Evans County, Georgia"
13111,87.572464,"Fannin County, Georgia"
13113,-280.2555,"Fayette County, Georgia"
13115,-357.31796,"Floyd County, Georgia"
13117,-255.66508,"Forsyth County, Georgia"
13119,-92.57292,"Franklin County, Georgia"
13121,-52.95224,"Fulton County, Georgia"
13123,171.4623,"Gilmer County, Georgia"
13125,-88.102585,"Glascock County, Georgia"
13127,-278.2475,"Glynn County, Georgia"
13129,-270.09708,"Gordon County, Georgia"
13131,-129.21765,"Grady County, Georgia"
13133,-200.55118,"Greene County, Georgia"
13135,-142.95789,"Gwinnett County, Georgia"
13137,526.10803,"Habersham County, Georgia"
13139,641.83606,"Hall County, Georgia"
13141,1126.7461,"Hancock County, Georgia"
13143,2.3133926,"Haralson County, Georgia"
13145,8.836685,"Harris County, Georgia"
13147,-140.51654,"Hart County, Georgia"
13149,44.855927,"Heard County, Georgia"
13151,-135.82928,"Henry County, Georgia"
13153,-214.43831,"Houston County, Georgia"
13155,-29.861252,"Irwin County, Georgia"
13157,-41.21335,"Jackson County, Georgia"
13159,-8.219101,"Jasper County, Georgia"
13161,-192.78596,"Jeff Davis County, Georgia"
13163,-555.1015,"Jefferson County, Georgia"
13165,-596.83185,"Jenkins County, Georgia"
13167,222.24744,"Johnson County, Georgia"
13169,-115.42096,"Jones County, Georgia"
13171,-123.01897,"Lamar County, Georgia"
13173,-69.20875,"Lanier County, Georgia"
13175,-208.78494,"Laurens County, Georgia"
13177,989.76276,"Lee County, Georgia"
13179,18.512669,"Liberty County, Georgia"
13181,-90.01433,"Lincoln County, Georgia"
13183,-104.90042,"Long County, Georgia"
13185,-58.669464,"Lowndes County, Georgia"
13187,161.73737,"Lumpkin County, Georgia"
13189,-97.206345,"McDuffie County, Georgia"
13191,-281.03732,"McIntosh County, Georgia"
13193,-7.8621216,"Macon County, Georgia"
13195,-84.82716,"Madison County, Georgia"
13197,20.805176,"Marion County, Georgia"
