,residual,county_state
17037,-130.09288,"DeKalb County, Illinois"
17039,-92.31934,"De Witt County, Illinois"
17041,-14.36602,"Douglas County, Illinois"
17043,-57.06433,"DuPage County, Illinois"
17045,-88.631096,"Edgar County, Illinois"
17047,-32.011482,"Edwards County, Illinois"
17049,-123.65099,"Effingham County, Illinois"
17051,-148.66373,"Fayette County, Illinois"
17053,-14.998032,"Ford County, Illinois"
17055,-69.27315,"Franklin County, Illinois"
17057,-217.3893,"Fulton County, Illinois"
17059,1.0893059,"Gallatin County, Illinois"
17061,-93.14426,"Greene County, Illinois"
17063,-151.17291,"Grundy County, Illinois"
17065,-99.41406,"Hamilton County, Illinois"
17067,-39.238617,"Hancock County, Illinois"
17069,-72.78316,"Hardin County, Illinois"
17071,34.18332,"Henderson County, Illinois"
17073,-43.593872,"Henry County, Illinois"
17075,289.90393,"Iroquois County, Illinois"
17077,89.905685,"Jackson County, Illinois"
17079,412.08133,"Jasper County, Illinois"
17081,107.131714,"Jefferson County, Illinois"
17083,-70.842545,"Jersey County, Illinois"
17085,-35.418785,"Jo Daviess County, Illinois"
17087,-180.23083,"Johnson County, Illinois"
17089,193.04309,"Kane County, Illinois"
17091,306.65756,"Kankakee County, Illinois"
17093,38.829865,"Kendall County, Illinois"
17095,-71.51857,"Knox County, Illinois"
17097,248.04767,"Lake County, Illinois"
