fips,LND110210,POP060210
17155,160.16,37.5
17157,575.5,58.2
17159,359.99,45.1
17161,427.64,345
17163,657.76,410.6
17165,379.82,65.6
17167,868.3,227.4
17169,437.27,17.3
17171,250.91,21.3
17173,758.52,29.5
17175,288.08,20.8
17177,564.52,84.5
17179,648.97,208.6
17181,413.46,43.1
17183,898.37,90.9
17185,223.25,53.5
17187,542.41,32.6
17189,562.57,26.2
17191,713.81,23.5
17193,494.77,29.6
17195,684.25,85.5
17197,836.91,809.6
17199,420.15,157.9
17201,513.36,575.2
17203,527.8,73.3
18000,35826.11,181
18001,339.03,101.4
18003,657.31,540.6
18005,406.91,188.7
18007,406.42,21.8
18009,165.08,77.3
18011,422.91,133.9
18013,311.98,48.9
18015,372.22,54.1
18017,412.16,94.5
18019,372.86,295.6
18021,357.54,75.2
18023,405.07,82
18025,305.64,35.1
18027,429.49,73.7
18029,305.03,164.1
18031,372.57,69.1
18033,362.82,116.4
18035,392.12,300.1
18037,427.27,98
18039,463.17,426.5
18041,215.01,112.9
18043,147.94,504.1
18045,395.66,43.6
18047,384.43,60.1
18049,368.39,56.6
18051,487.49,68.7
18053,414.07,169.2
18055,542.5,61.1
18057,394.27,696.4
18059,306.02,228.8
18061,484.52,81.2
18063,406.91,357.4
18065,391.88,126.2
18067,293.06,282.4
18069,382.65,97
18071,509.31,83.2
18073,559.63,59.8
18075,383.91,55.4
18077,360.63,89.9
18079,376.58,75.7
18081,320.43,435.8
18083,516.03,74.5
18085,531.38,145.6
18087,379.62,97.8
18089,498.96,994.1
18091,598.3,186.3
18093,449.17,102.7
18095,451.92,291.3
18097,396.3,2279.6
18099,443.63,106.1
18101,335.74,30.8
18103,373.84,98.7
18105,394.51,349.7
18107,504.61,75.6
18109,403.97,170.5
18111,401.76,35.5
18113,410.84,115.7
18115,86.14,71.1
18117,398.39,49.8
18119,385.29,56
18121,444.66,39
18123,381.73,50.7
18125,334.24,38.4
18127,418.15,393
18129,409.57,63.3
18131,433.65,30.9
18133,480.53,79
18135,452.38,57.9
18137,446.43,64.6
18139,408.12,42.6
18141,457.85,583
18143,190.4,127
18145,411.15,108.1
18147,396.74,52.8
18149,309.13,75.6
18151,308.94,110.7
18153,447.14,48
18155,220.63,48.1
18157,499.81,345.7
18159,260.54,61.2
18161,161.22,46.6
18163,233.48,769.7
18165,256.88,63.1
18167,403.31,267.4
18169,412.43,79.7
18171,364.68,23.3
18173,384.82,155.1
18175,513.73,55
18177,401.74,171.5
18179,368.09,75.1
18181,505.13,48.8
18183,335.57,99.2
19000,55857.13,54.5
19001,569.27,13.5
19003,423.44,9.5
19005,639.08,22.4
19007,497.29,25.9
19009,442.96,13.8
19011,716.27,36.4
19013,565.77,231.7
19015,571.57,46
19017,435.48,55.7
19019,571.02,36.7
19021,574.92,35.2
19023,580.13,25.6
19025,569.97,17
19027,569.44,36.6
19029,564.27,24.7
19031,579.44,31.9
19033,568.31,77.7
19035,576.91,20.9
19037,504.38,24.7
19039,431.17,21.5
19041,567.24,29.4
19043,778.54,23.3
19045,694.92,70.7
19047,714.19,23.9
19049,588.45,112.4
19051,502.19,17.4
19053,531.88,15.9
19055,577.76,30.7
19057,416.12,96.9
